Absolute zero,#0048BA,0,72,186,217.0,100.0,37.0
Acid green,#B0BF1A,176,191,26,65.0,76.0,43.0
Aero,#7CB9E8,124,185,232,206.0,70.0,70.0
Aero blue,#C9FFE5,201,255,229,151.0,100.0,89.0
African violet,#B284BE,178,132,190,288.0,31.0,63.0
Air Force blue (RAF),#5D8AA8,93,138,168,204.0,30.0,51.0
Air Force blue (USAF),#00308F,0,48,143,220.0,100.0,28.0
Air superiority blue,#72A0C1,114,160,193,205.0,39.0,60.0
Alabama crimson,#AF002A,175,0,42,346.0,100.0,34.0
Alabaster,#F2F0E6,242,240,230,346.0,32.0,93.0
Alice blue,#F0F8FF,240,248,255,208.0,100.0,97.0
Alien Armpit,#84DE02,132,222,2,85.0,98.0,44.0
Alizarin crimson,#E32636,227,38,54,355.0,77.0,52.0
Alloy orange,#C46210,196,98,16,27.0,85.0,42.0
Almond,#EFDECD,239,222,205,30.0,52.0,87.0
Amaranth,#E52B50,229,43,80,348.0,78.0,53.0
Amaranth deep purple,#9F2B68,159,43,104,328.0,57.0,40.0
Amaranth pink,#F19CBB,241,156,187,338.0,75.0,78.0
Amaranth purple,#AB274F,171,39,79,342.0,63.0,41.0
Amaranth red,#D3212D,211,33,45,356.0,73.0,48.0
Amazon,#3B7A57,59,122,87,147.0,35.0,35.0
Amazonite,#00C4B0,0,196,176,356.0,100.0,38.0
Amber,#FFBF00,255,191,0,45.0,100.0,50.0
Amber (SAE/ECE),#FF7E00,255,126,0,30.0,100.0,50.0
American rose,#FF033E,255,3,62,346.0,100.0,51.0
Amethyst,#9966CC,153,102,204,270.0,50.0,60.0
Android green,#A4C639,164,198,57,74.0,55.0,50.0
Anti-flash white,#F2F3F4,242,243,244,210.0,8.0,95.0
Antique brass,#CD9575,205,149,117,22.0,47.0,63.0
Antique bronze,#665D1E,102,93,30,53.0,55.0,26.0
Antique fuchsia,#915C83,145,92,131,316.0,22.0,46.0
Antique ruby,#841B2D,132,27,45,350.0,66.0,31.0
Antique white,#FAEBD7,250,235,215,34.0,78.0,91.0
Ao (English),#008000,0,128,0,120.0,100.0,25.0
Apple green,#8DB600,141,182,0,74.0,100.0,36.0
Apricot,#FBCEB1,251,206,177,24.0,90.0,84.0
Aqua,#00FFFF,0,255,255,180.0,100.0,50.0
Aquamarine,#7FFFD4,127,255,212,160.0,100.0,75.0
Arctic lime,#D0FF14,208,255,20,72.0,100.0,54.0
Army green,#4B5320,75,83,32,69.0,44.0,23.0
Arsenic,#3B444B,59,68,75,206.0,12.0,26.0
Artichoke,#8F9779,143,151,121,76.0,13.0,53.0
Arylide yellow,#E9D66B,233,214,107,51.0,74.0,67.0
Ash grey,#B2BEB5,178,190,181,135.0,8.0,72.0
Asparagus,#87A96B,135,169,107,93.0,26.0,54.0
Atomic tangerine,#FF9966,255,153,102,20.0,100.0,70.0
Auburn,#A52A2A,165,42,42,0.0,59.0,41.0
Aureolin,#FDEE00,253,238,0,56.0,100.0,50.0
AuroMetalSaurus,#6E7F80,110,127,128,183.0,8.0,47.0
Avocado,#568203,86,130,3,81.0,95.0,26.0
Awesome,#FF2052,255,32,82,81.0,95.0,56.0
Aztec Gold,#C39953,195,153,83,38.0,48.0,55.0
Azure,#007FFF,0,127,255,210.0,100.0,50.0
